"","jobId","industry","normTitle","normTitleCategory","descriptionCharacterLength","descriptionWordCount","experienceRequired","estimatedSalary","industry_dich","normTitle_dich","normTitleCategory_dich","experienceRequired_dich","mean_clicks"
"1","job0000040",NA,"registered nurse","mednurse",1203,226,NA,43100,0,1,1,0,14
"2","job0000043",NA,"call center representative","customer",2538,415,NA,28500,0,1,1,0,9
"3","job0000071",NA,"regional vice president","management",6352,936,7,119800,0,1,1,1,26
"4","job0000124",NA,"dock worker","warehouse",1063,254,NA,39000,0,1,1,0,6.66666666666667
"5","job0000146","HUMAN_RESOURCES_AND_STAFFING","mechanical engineer","engmech",2319,362,1,66900,1,1,1,1,19
"6","job0000148",NA,"designer","arts",1521,286,NA,46400,0,1,1,0,27.5
"7","job0000176",NA,"senior network engineer","techhelp",2276,346,4,84200,0,1,1,1,5
"8","job0000218",NA,"stock supervisor","retail",1644,261,3,50100,0,1,1,1,13
"9","job0000236",NA,"marketing specialist","marketing",2512,410,2,41000,0,1,1,1,19.5
"10","job0000251","BANKS_AND_FINANCIAL_SERVICES","customer service representative","customer",5685,817,NA,28900,1,1,1,0,14.6666666666667
"11","job0000261",NA,"operating room manager","medtech",1674,275,4,85000,0,1,1,1,16
"12","job0000269","HEALTH_CARE","linux engineer","techsoftware",1201,215,5,104200,1,1,1,1,22
"13","job0000271",NA,"post-doctoral fellow","education",2304,359,NA,68300,0,1,1,0,9.33333333333333
"14","job0000302",NA,"server","food",3281,567,NA,17000,0,1,1,0,11.5
"15","job0000424",NA,"senior contract specialist","admin",5500,764,15,81500,0,1,1,1,14
"16","job0000434",NA,"porter/maintenance","sanitation",6244,978,NA,22200,0,1,1,0,12
"17","job0000445",NA,"director of finance","management",2126,398,12,89000,0,1,1,1,23.5
"18","job0000462",NA,"system engineer","engid",3247,518,NA,132200,0,1,1,0,15
"19","job0000501",NA,NA,NA,750,132,NA,23600,0,0,0,0,14
"20","job0000604",NA,"repair technician","install",104,25,NA,32600,0,1,1,0,3
"21","job0000620",NA,"maintenance engineer","techhelp",1183,263,NA,38400,0,1,1,0,23
"22","job0000633",NA,"hospice nurse","mednurse",1910,377,NA,67900,0,1,1,0,17
"23","job0000637",NA,"development manager","management",4124,670,3,88200,0,1,1,1,10.5
"24","job0000658",NA,"attendant","customer",882,143,NA,23600,0,1,1,0,16.4
"25","job0000675",NA,"sales assistant","sales",860,194,NA,38300,0,1,1,0,22
"26","job0000729",NA,"licensed vocational nurse","mednurse",1548,261,NA,31800,0,1,1,0,16.8333333333333
"27","job0000731",NA,"manufacturing manager","management",1424,261,5,90600,0,1,1,1,9.66666666666667
"28","job0000739",NA,"dental assistant","meddental",421,113,NA,30000,0,1,1,0,28.5
"29","job0000766",NA,"dentist","meddental",2351,419,NA,76400,0,1,1,0,17.6
"30","job0000772",NA,"development director","management",5906,865,2,55900,0,1,1,1,18.6666666666667
"31","job0000799",NA,"service advisor","sales",1265,214,NA,32600,0,1,1,0,14.5
"32","job0000810",NA,"social media manager","marketing",2720,415,3,59600,0,1,1,1,15
"33","job0000817",NA,"executive assistant","admin",3666,631,NA,36500,0,1,1,0,15.75
"34","job0000872",NA,"analyst","math",3043,505,NA,94200,0,1,1,0,17
"35","job0000885",NA,"supervisor","management",2843,511,5,43500,0,1,1,1,14.6666666666667
"36","job0000916",NA,"food clerk","retail",5698,887,NA,17900,0,1,1,0,15
"37","job0000931",NA,"licensed vocational nurse","mednurse",1934,346,1,36200,0,1,1,1,8
"38","job0000938","AUTO","receptionist","admin",2728,422,NA,20900,1,1,1,0,15.5
"39","job0000964",NA,"field nurse","mednurse",1052,161,1,39800,0,1,1,1,14.4285714285714
"40","job0000970",NA,"project controller","project",2477,409,8,79900,0,1,1,1,24
"41","job0000985",NA,"spanish teacher","education",658,196,2,42400,0,1,1,1,18.1428571428571
"42","job0000993",NA,"journeyman carpenter","construction",377,106,10,43900,0,1,1,1,16.25
"43","job0001008",NA,"truck driver","driver",1931,349,NA,28300,0,1,1,0,58
"44","job0001020",NA,"retail sales associate","retail",2712,453,NA,18100,0,1,1,0,16.75
"45","job0001042",NA,"dispatcher","transport",2323,368,2,29300,0,1,1,1,14.8333333333333
"46","job0001081",NA,"construction manager","management",3002,445,NA,85300,0,1,1,0,13.8571428571429
"47","job0001134",NA,"adjuster","insurance",3359,473,10,49700,0,1,1,1,12.8571428571429
"48","job0001160",NA,"mortgage underwriter","accounting",3969,647,4,55700,0,1,1,1,12
"49","job0001195",NA,"installer","install",870,123,5,35300,0,1,1,1,16.75
"50","job0001198",NA,"room attendant","sanitation",1111,208,NA,17500,0,1,1,0,17
"51","job0001223",NA,"customer service representative","customer",1648,303,2,31700,0,1,1,1,13.3333333333333
"52","job0001228",NA,"fitness trainer","sports",2686,399,NA,42600,0,1,1,0,13
"53","job0001239",NA,"customer service representative","customer",3391,580,0.5,16400,0,1,1,1,20
"54","job0001248",NA,"host/hostess","food",2115,405,NA,24900,0,1,1,0,15
"55","job0001258","FOOD_AND_BEVERAGES","guest service agent","customer",866,192,NA,19600,1,1,1,0,9
"56","job0001295",NA,"mri technologist","medtech",3048,469,2,33400,0,1,1,1,20.1111111111111
"57","job0001329",NA,"electrician","install",2420,415,4,48700,0,1,1,1,18.5555555555556
"58","job0001360",NA,"room attendant","sanitation",951,200,NA,17200,0,1,1,0,19
"59","job0001364","CONSULTING_AND_BUSINESS_SERVICES","janitor","sanitation",679,173,NA,20900,1,1,1,0,12
"60","job0001368",NA,"accountant","accounting",2670,353,NA,39500,0,1,1,0,15.375
"61","job0001387",NA,"nuclear medicine technologist","medtech",1577,248,2,69500,0,1,1,1,14.3333333333333
"62","job0001405",NA,"pastry cook","food",686,151,NA,22100,0,1,1,0,21.4444444444444
"63","job0001448",NA,"cost engineer","accounting",2471,394,5,85300,0,1,1,1,17.5555555555556
"64","job0001455","AGRICULTURE_AND_EXTRACTION","equipment operator","construction",2456,382,1,26100,1,1,1,1,17.7
"65","job0001464",NA,"medical equipment repairer","medtech",1687,287,NA,40600,0,1,1,0,18.9
"66","job0001466",NA,"registered nurse - medical / surgical","mednurse",1956,306,0.5,30200,0,1,1,1,14
"67","job0001470",NA,"senior director of operations","management",86,55,NA,75000,0,1,1,0,16
"68","job0001479",NA,"corporate paralegal","legal",1200,186,3,84600,0,1,1,1,3
"69","job0001487",NA,"investment banking analyst","finance",3916,576,3,125700,0,1,1,1,16.4
"70","job0001520",NA,"machine learning engineer","techsoftware",6023,846,5,123000,0,1,1,1,13.3333333333333
"71","job0001543",NA,"agency owner","sales",1934,368,NA,57200,0,1,1,0,23.5
"72","job0001565",NA,"loan officer","sales",1717,237,NA,25400,0,1,1,0,17
"73","job0001606",NA,"graphic designer","media",1644,242,NA,47100,0,1,1,0,15.8888888888889
"74","job0001608",NA,"senior engineer","uncategorized",2099,379,5,101700,0,1,1,1,16
"75","job0001611","HEALTH_CARE","unit clerk","medinfo",3263,497,NA,34100,1,1,1,0,28.7
"76","job0001632",NA,"pricing analyst","techinfo",931,192,2,62200,0,1,1,1,10
"77","job0001634",NA,"nursing assistant","mednurse",3905,615,NA,16900,0,1,1,0,17.1818181818182
"78","job0001637",NA,"study manager","science",2860,433,NA,36400,0,1,1,0,29.9090909090909
"79","job0001674",NA,"systems administrator","techhelp",5316,815,7,71000,0,1,1,1,13.4545454545455
"80","job0001693",NA,"substance abuse counselor","service",4430,647,NA,38100,0,1,1,0,46.0909090909091
"81","job0001703",NA,"major gifts manager","management",4124,622,3,73300,0,1,1,1,21.7142857142857
"82","job0001719",NA,"scheduling coordinator","admin",2175,332,NA,26700,0,1,1,0,17
"83","job0001735",NA,"administrative assistant","admin",1136,210,NA,22500,0,1,1,0,8
"84","job0001759",NA,"sales representative","sales",1517,235,3,46000,0,1,1,1,9.7
"85","job0001781",NA,"staff auditor","accounting",1479,240,1,61800,0,1,1,1,21.0909090909091
"86","job0001845",NA,"fleet mechanic","install",642,169,NA,37500,0,1,1,0,13.8888888888889
"87","job0001879",NA,"controller","accounting",2532,405,NA,124000,0,1,1,0,17.5
"88","job0001896","HEALTH_CARE","concierge","hospitality",1945,333,NA,26800,1,1,1,0,13.2727272727273
"89","job0001920",NA,"project manager","project",1554,240,NA,92100,0,1,1,0,34
"90","job0001934",NA,"nail technician","personal",230,110,NA,30200,0,1,1,0,10
"91","job0001947",NA,"instructor","education",3117,526,2,59200,0,1,1,1,11.5454545454545
"92","job0001994",NA,"registered nurse - medical / surgical","mednurse",4881,650,NA,50500,0,1,1,0,11.6
"93","job0002002",NA,"general worker","manufacturing",1041,220,NA,21500,0,1,1,0,17.8
"94","job0002039",NA,"handler","warehouse",483,142,NA,24000,0,1,1,0,12
"95","job0002043",NA,"inside sales representative","sales",2752,451,NA,34000,0,1,1,0,29.2222222222222
"96","job0002050",NA,"parking attendant","customer",4321,657,NA,21300,0,1,1,0,18.1666666666667
"97","job0002051","EDUCATION_AND_SCHOOLS","senior financial accountant","accounting",325,141,NA,45200,1,1,1,0,11
"98","job0002056",NA,"registered nurse","mednurse",527,164,NA,38900,0,1,1,0,46.4166666666667
"99","job0002089",NA,"cable technician","install",1308,246,5,37300,0,1,1,1,16.3636363636364
"100","job0002116",NA,"surgery scheduler","medinfo",473,116,3,34300,0,1,1,1,9.8
"101","job0002134",NA,"club manager","management",7881,1135,5,62900,0,1,1,1,14.9090909090909
"102","job0002155",NA,"tractor trailer driver","driver",1716,314,0.3,45400,0,1,1,1,15.25
"103","job0002203",NA,"principal software engineer","techsoftware",1711,295,5,105100,0,1,1,1,19
"104","job0002212",NA,"utility operator","install",460,161,NA,19200,0,1,1,0,11.3
"105","job0002254",NA,"recruiter","hr",2670,464,1,42400,0,1,1,1,16.8
"106","job0002303",NA,"janitor","sanitation",539,77,NA,27600,0,1,1,0,17
"107","job0002333",NA,"satellite installer","install",2556,445,NA,33500,0,1,1,0,15.9166666666667
"108","job0002395",NA,"cloud engineer","techsoftware",5613,855,7,121600,0,1,1,1,25
"109","job0002523",NA,"auditor","accounting",4797,748,4,52300,0,1,1,1,13.6666666666667
"110","job0002595","ORGANIZATION","driver","driver",2770,467,0.5,28700,1,1,1,1,17.4285714285714
"111","job0002597",NA,"ct technologist","medtech",2657,440,NA,43200,0,1,1,0,19.8571428571429
"112","job0002643","HEALTH_CARE","speech therapist","therapy",791,176,NA,74300,1,1,1,0,18.3636363636364
"113","job0002690",NA,"editor","media",544,124,2,27100,0,1,1,1,14.5333333333333
"114","job0002744","FOOD_AND_BEVERAGES",NA,NA,2874,445,NA,21900,1,0,0,0,16.4285714285714
"115","job0002760",NA,"housing manager","management",4680,729,NA,28700,0,1,1,0,15.6666666666667
"116","job0002824",NA,"executive assistant","admin",3103,561,3,64000,0,1,1,1,13
"117","job0002865",NA,"senior data analyst","techinfo",5291,794,5,90400,0,1,1,1,14.2857142857143
"118","job0002882",NA,"restaurant team member","food",1357,310,NA,27300,0,1,1,0,19
"119","job0002886",NA,"restaurant team member","food",1151,225,NA,23200,0,1,1,0,26
